game_title,weapon_name,,ammo_name,ap_cost,caps_value,damage,notes,shoot_modes,special,strength_required,upgrades,weapon_range,weapon_type,weight
Fallout 2,Flamethrower,0,Flamethrower fuel,6.0,2000.0,45.0,,Flame Burst (uses 1 fuel pack),,6,"The upgrade will improve penetration, resulting in more damage. It'll also require new fuel, Flamethrower fuel MK-II (blue package).",5.0,big_guns,18.0
Fallout 2,Rockwell Rocket Launcher,1,HE or AP rocket,6.0,2300.0,35.0,,Single shot only,,6,,40.0,big_guns,15.0
Fallout 2,M60,2,7.62mm ammo,6.0,2300.0,18.0,,10-round burst,,7,,35.0,big_guns,23.0
Fallout 2,Light Support Weapon,3,.223 FMJ ammo,6.0,3750.0,20.0,,10-round burst,,6,,40.0,big_guns,20.0
Fallout 2,Bozar,4,.223 FMJ ammo,6.0,5250.0,25.0,,15-round burst,,6,,35.0,big_guns,20.0
Fallout 2,Rockwell CZ53 Minigun,5,5mm JHP,6.0,3800.0,7.0,,40-round burst,,7,,35.0,big_guns,28.0
Fallout 2,"Rockwell CZ53 ""Avenger"" Minigun",6,5mm JHP,6.0,5500.0,10.0,,40-round burst,,7,,40.0,big_guns,28.0
Fallout 2,Vindicator Minigun,7,4.7 mm caseless ammo,6.0,15250.0,14.0,,25-round burst,,7,,30.0,big_guns,28.0
Fallout 2,Wattz 2000 Laser Rifle,0,Micro Fusion Cell,56.0,5000.0,25.0,,Single (aimed),,6,"Extended Charge upgrade, upgrades battery capacity to 24",45.0,large_weapons,12.0
Fallout 2,HK L30 Gatling Laser,1,Micro Fusion Cell,6.0,7500.0,20.0,,10 laser ray burst,,6,,40.0,large_weapons,24.0
Fallout 2,Winchester P94 Plasma Rifle,2,Micro Fusion Cell,56.0,4000.0,35.0,,Single (aimed),,6,Turbo Plasma Rifle - increases damage by about 5 hp and increases range by 10 hexes,25.0,large_weapons,12.0
Fallout 2,YK42B Pulse Rifle,3,Micro Fusion Cell,56.0,17500.0,54.0,,Single (aimed),,3,,30.0,large_weapons,9.0
Fallout 2,Rock,0,,34.0,0.0,1.0,,"Swing (aimed), Throw (aimed)",,1,,1.0,melee_thrown_weapons,1.0
Fallout 2,Wooden Pole,1,,45.0,5.0,2.0,,"Thrust (aimed), Throw (aimed)",,3,,2.0,melee_thrown_weapons,3.0
Fallout 2,Spear,2,,45.0,80.0,3.0,,"Thrust (aimed), Throw (aimed)",,4,Sharpened Spear; get flint from Aunt Morlis to sharpen the spear (higher damage dealt),2.0,melee_thrown_weapons,4.0
Fallout 2,Throwing Knife,3,,45.0,100.0,3.0,,"Thrust (aimed), Throw (aimed)",,3,,1.0,melee_thrown_weapons,1.0
Fallout 2,Switchblade,0,,34.0,50.0,2.0,,"Swing (aimed), Thrust (aimed)",,1,,1.0,melee_weapons,1.0
Fallout 2,Wrench,1,,34.0,65.0,3.0,,"Swing (aimed), Thrust (aimed)",,3,Quest Item in Vault City,1.0,melee_weapons,4.0
Fallout 2,Knife,2,,34.0,40.0,1.0,,"Swing (aimed), Thrust (aimed)",,2,,1.0,melee_weapons,1.0
Fallout 2,Police Baton,3,,34.0,30.0,1.0,,Swing (aimed),,3,,1.0,melee_weapons,3.0
