game_title,weapon_name,,accuracy,ammo_name,ap_cost,area_of_effect,caps_value,code,components,critical_chance_multiplier,damage,durability,fire_rate,form_id,magazine_capacity,notes,related_weapon_skill,skill,weapon_type,weight
Fallout 3,Fat Man,0,2.0,Mini nuke,65.0,,1000.0,,,,10.0,167.0,1.58,0000432C,1.0,,,,area_Of_effect,30.0
Fallout 3,Experimental MIRV,1,13.0,Mini nuke,65.0,,2498.0,,,,8010.0,63.0,1.58,0003422B,8.0,,,,area_Of_effect,30.0
Fallout 3,Heavy incinerator,2,0.5,Flamer fuel,50.0,,500.0,,,,40.0,222.0,4.0,xx001084,24.0,,,,area_Of_effect,15.0
Fallout 3,Missile launcher,3,0.5,Missile,55.0,,500.0,,,,20.0,83.0,1.6,00004340,1.0,,,,area_Of_effect,20.0
Fallout 3,Miss Launcher,4,0.5,Missile,55.0,,400.0,,,,20.0,83.0,1.58,000B2644,1.0,,,,area_Of_effect,15.0
Fallout 3,Auto axe,0,,,65.0,,200.0,,,x0,35.0,457,1.0,xx0032E1,,,,,bladed_melee,20.0
Fallout 3,Man Opener,1,,,65.0,,200.0,,,x0,35.0,457,1.0,xx00B66C,,,,,bladed_melee,20.0
Fallout 3,The Mauler,2,,,50.0,,200.0,,,x0,45.0,356,1.0,xx00B514,,,,,bladed_melee,20.0
Fallout 3,Axe,3,,,30.0,,60.0,,,x2,28.6,500,1.43,xx00838F,,,,,bladed_melee,6.0
Fallout 3,The Dismemberer,4,,,30.0,,55.0,,,x2,35.7,480,1.43,xx00ED0F,,,,,bladed_melee,6.0
Fallout 3,Chinese officer's sword,5,,,28.0,,75.0,,,x2,23.1,1000,2.31,0002B3CB,,,,,bladed_melee,3.0
Fallout 3,Jingwei's shocksword,6,,,28.0,,500.0,,,x2,82.8,486,2.31,xx00C07C,,,,,bladed_melee,3.0
Fallout 3,Vampire's Edge,7,,,28.0,,100.0,,,x3,34.6,1000,2.31,00078441,,,,,bladed_melee,1.0
Fallout 3,Combat knife,8,,,17.0,,50.0,,,x3,21.0,1286,3.0,00004326,,,,,bladed_melee,1.0
Fallout 3,Occam's Razor,9,,,17.0,,65.0,,,x3,30.0,1200,3.0,000CB602,,,,,bladed_melee,1.0
Fallout 3,Stabhappy,10,,,17.0,,65.0,,,x4,30.0,1200,3.0,000C80BE,,,,,bladed_melee,1.0
Fallout 3,Trench knife,11,,,17.0,,50.0,,,x3,21.0,1286,3.0,xx00C07B,,,,,bladed_melee,1.0
Fallout 3,Knife,12,,,20.0,,20.0,,,x1,12.0,500,3.0,00004334,,,,,bladed_melee,1.0
Fallout 3,Ant's Sting,13,,,20.0,,30.0,,,x1,16.0,1250,3.0,000C553E,,,,,bladed_melee,1.0
Fallout 3,Ritual knife,14,,,12.0,,20.0,,,x3,18.0,1333,3.0,xx01098A,,,,,bladed_melee,1.0
Fallout 3,Slasher knife,15,,,0.0,,50.0,,,x0,115.4,400,2.3,0002869C,,,,,bladed_melee,1.0
Fallout 3,Toy knife,16,,,10.0,,20.0,,,x1,3.0,200,3.0,xx006AB7,,,,,bladed_melee,1.0
