game_title,weapon_name,,accuracy,ammo_name,aoe_size,ap_cost,area_of_effect,caps_value,damage,fire_rate,form_id,magazine_capacity,special_effect,weapon_range,weapon_type,weight
Fallout 4,Alien shock baton,0,,,,0.37,,,11.0,,,,FEXXX84F,,blunt_melee,
Fallout 4,Baseball bat,1,,,,35.0,,8.33,16.0,,,,3,,blunt_melee,25.0
Fallout 4,2076 World Series baseball bat,2,,,,35.0,,325.0,16.0,,00226438,,6% chance to send targets flying.,,blunt_melee,3.0
Fallout 4,Cito's Shiny Slugger,3,,,,0.89,,28.3,31.0,,,,7.5,,blunt_melee,175.0
Fallout 4,Fencebuster,4,,,,0.46,,41.7,16.0,,,,3,,blunt_melee,125.0
Fallout 4,Baton,5,,,,30.0,,7.5,11.0,,,,2,,blunt_melee,15.0
Fallout 4,Board,6,,,,33.0,,6.67,14.0,,,,3,,blunt_melee,20.0
Fallout 4,Bladed board,7,,,,33.0,,6.67,102.0,,,,4.5,,blunt_melee,30.0
Fallout 4,Commie Whacker,8,,,,25.0,,12.5,10.0,,,,2,,blunt_melee,25.0
Fallout 4,Lead pipe,9,,,,30.0,,5.0,11.0,,,,3,,blunt_melee,15.0
Fallout 4,Pipe wrench,10,,,,35.0,,15.0,13.0,,,,2,,blunt_melee,30.0
Fallout 4,Big Jim,11,,,,35.0,,150.0,13.0,,0023E5EC,,20% to cripple target's leg.,,blunt_melee,2.0
Fallout 4,Pole hook,12,,,,0.75,,9582.0,30.0,,,,52,,blunt_melee,7.4
Fallout 4,Bloodletter,13,,,,0.75,,7.4,30.0,,,,7,,blunt_melee,52.0
Fallout 4,The Fish Catcher,14,,,,1.25,,44.6,30.0,,,,7,,blunt_melee,312.0
Fallout 4,Pool cue,15,,,,30.0,,10.0,13.0,,,,1,,blunt_melee,10.0
Fallout 4,Sharp pool cue,16,,,,30.0,,10.83,102.0,,,,1.2,,blunt_melee,13.0
Fallout 4,Rolling pin,17,,,,25.0,,10.0,11.0,,,,1,,blunt_melee,10.0
Fallout 4,Sharp aluminum rolling pin,18,,,,25.0,,16.0,102.0,,,,1,,blunt_melee,16.0
Fallout 4,Sledgehammer,19,,,,40.0,,3.33,23.0,,,,12,,blunt_melee,40.0
Fallout 4,Super sledge,20,,,,45.0,,9.0,40.0,,,,20,,blunt_melee,180.0
Fallout 4,Stunning super sledge,21,,,,45.0,,540.0,40.0,,,,25% chance to paralyze.,,blunt_melee,20.0
Fallout 4,Atom's Judgement,22,,,,0.89,,,40.0,,,,20,,blunt_melee,3.0
Fallout 4,Swatter,23,,,,35.0,,10.0,18.0,,,,3,,blunt_melee,30.0
Fallout 4,Bladed Swatter,24,,,,35.0,,9.33,102.0,,,,4.5,,blunt_melee,42.0
Fallout 4,Rockville Slugger,25,,,,21.0,,133.0,22.0,,001F2674,,40% less AP cost in VATS.,,blunt_melee,3.5
Fallout 4,Tire iron,26,,,,25.0,,12.5,12.0,,,,2,,blunt_melee,25.0
Fallout 4,Bladed tire iron,27,,,,25.0,,12.33,102.0,,,,3,,blunt_melee,37.0
Fallout 4,Walking cane,28,,,,20.0,,5.0,10.0,,,,2,,blunt_melee,10.0
Fallout 4,Artillery smoke grenade,0,,,,,0.5,0.0,1.0,,,,,,fraction_explosives,0.0
Fallout 4,Institute beacon,1,,,,,0.5,0.0,1.0,,,,,,fraction_explosives,0.0
Fallout 4,Synth relay grenade,2,,,,,0.5,100.0,1.0,,,,,,fraction_explosives,50.0
Fallout 4,Vertibird signal grenade,3,,,,,0.5,20.0,1.0,,,,,,fraction_explosives,10.0
Fallout 4,Gamma gun,0,69.0,156.0,,,,,121.0,66.0,,52.0,3.0,119.0,gamma_weapons,0.0
Fallout 4,Lorenzo's Artifact gun,1,69.0,4.5,,,,2266.0,38.5,66.0,,753.0,8.0,203.0,gamma_weapons,167.3
Fallout 4,Zeta gun,2,69.0,156.0,,,,,62.7,66.0,,50.0,3.1,119.0,gamma_weapons,2266.0
Fallout 4,Fat Man,0,63.0,30.7,,7.8,,0.0,89.43,1.0,,512.0,1,117.0,heavy_weapons,16.7
Fallout 4,Big Boy,1,,404.07,,1.0,,,1.0,117.0,,21.0,12405,39.0,heavy_weapons,
Fallout 4,The Striker,2,60.0,30.7,,50.0,,31702.0,1.0,117.0,,2512.0,1,63.0,heavy_weapons,81.82
Fallout 4,Nuka-nuke launcher,3,,xx05178F,,36.0,,,1.0,117.0,,,18.06,63.0,heavy_weapons,
Fallout 4,Flamer,4,53.0,137,,,,,108.0,90.0,,8.51,16.1,47.0,heavy_weapons,0.0
Fallout 4,Sergeant Ash,5,53.0,xx051599,,,,,117.0,90.0,,,16.1,47.0,heavy_weapons,
Fallout 4,Harpoon gun,6,40.0,12.58,,1.0,,,2.0,143.0,,10.0,205,63.0,heavy_weapons,
Fallout 4,Admiral's Friend,7,40.0,1005,,,,,2.0,143.0,,61.66,16.3,63.0,heavy_weapons,5158.0
Fallout 4,Skipper's Last Stand,8,40.0,1005,,,,,2.0,143.0,,61.66,16.3,63.0,heavy_weapons,4.0
Fallout 4,Defender's Harpoon Gun,9,40.0,1005,,,,,2.0,143.0,,61.66,16.3,63.0,heavy_weapons,32507.0
Fallout 4,Heavy incinerator,10,53.0,,,6.0,,,175.2,24.0,,,FEXXX809,23.0,heavy_weapons,
Fallout 4,Junk Jet,11,30.0,6.2,,,,,20.0,119.0,,0.0,285,75.0,heavy_weapons,
Fallout 4,Minigun,12,35.0,382,,5.0,,,217.6,272.0,,14.0,27.4,131.0,heavy_weapons,1.0
Fallout 4,Ashmaker,13,39.0,1755,,5.0,,,281.7,313.0,,61.1,28.7,77.0,heavy_weapons,1.0
Fallout 4,Missile launcher,14,45.0,14.95,,1.0,,,2.0,203.0,,3.0,314,65.0,heavy_weapons,
Fallout 4,Partystarter,15,50.0,,,,,,2.0,191.0,,1.0,4822,107.0,heavy_weapons,
Fallout 4,Death From Above,16,75.0,213.29,,,,,2.0,203.0,,225969.0,4479,65.0,heavy_weapons,
Fallout 4,Broadsider,17,40.0,9,,1.0,,,2.0,203.0,,0.0,245,63.0,heavy_weapons,
Fallout 4,Cryolator,18,66.0,302,,,,,180.0,90.0,,22.9,13.2,71.0,heavy_weapons,171.0
Fallout 4,Institute laser,0,70.0,50.0,,,,,99.0,66.0,,12.8,3.9,71.0,laser_weapons,1633.0
