game_title,weapon_name,,accuracy,ammo_name,ap_cost,caps_value,damage,fire_rate,form_id,magazine_capacity,weapon_range,weapon_type,weight
Fallout 76,Assaultron blade,0,,,35.0,70.0,40.0,,0010F3F2,,,bladed_melee,1.0
Fallout 76,Auto Axe,1,,,30.0,125.0,26.0,,006361A2,,,bladed_melee,12.0
Fallout 76,Black Diamond,2,,,30.0,40.0,50.0,,000360CF,,,bladed_melee,3.0
Fallout 76,Blade of Bastet,3,,,35.0,80.0,52.0,,0039C6C8,,,bladed_melee,3.0
Fallout 76,Bowie knife,4,,,20.0,35.0,30.0,,000311DE,,,bladed_melee,1.0
Fallout 76,Chainsaw,5,,,20.0,125.0,16.0,,0004DF01,,,bladed_melee,12.0
Fallout 76,Chinese officer sword,6,,,35.0,50.0,36.0,,00147BE4,,,bladed_melee,3.0
Fallout 76,Combat knife,7,,,20.0,25.0,33.0,,000913CA,,,bladed_melee,1.0
Fallout 76,Commander's Charge,8,122.0,,,,4620.0,35.0,,,3.6,bladed_melee,
Fallout 76,Cultist blade,9,,,30.0,35.0,41.0,,0005A937,,,bladed_melee,3.0
Fallout 76,Cultist dagger,10,,,20.0,40.0,32.0,,0008E015,,,bladed_melee,1.0
Fallout 76,Fire axe,11,,,30.0,15.0,72.0,,0012B793,,,bladed_melee,3.0
Fallout 76,Grant's saber,12,,,35.0,,36.0,,00357FBD,,,bladed_melee,3.0
Fallout 76,Grognak's Axe,13,,,20.0,100.0,85.0,,00183FCD,,,bladed_melee,10.0
Fallout 76,Hatchet,14,,,30.0,15.0,40.0,,0010D808,,,bladed_melee,3.0
Fallout 76,Machete,15,,,30.0,20.0,40.0,,00033FE0,,,bladed_melee,2.0
Fallout 76,Meat hook,16,,,30.0,20.0,34.0,,00111562,,,bladed_melee,2.0
Fallout 76,Meteoritic sword,17,,,35.0,50.0,36.0,,00111AB6,,,bladed_melee,3.0
Fallout 76,Mr. Handy buzz blade,18,,,40.0,50.0,8.0,,0010EC97,,,bladed_melee,10.0
Fallout 76,Multi-purpose axe,19,,,40.0,40.0,69.0,,002A0405,,,bladed_melee,4.0
Fallout 76,Nailer,20,,,30.0,15.0,41.0,,00342521,,,bladed_melee,3.0
Fallout 76,Oathbreaker,21,,,40.0,,82.0,,005E897C,,,bladed_melee,9.0
Fallout 76,Pickaxe,22,,,40.0,40.0,60.0,,00002840,,,bladed_melee,2.5
Fallout 76,Pitchfork,23,,,40.0,15.0,47.0,,0003A1D1,,,bladed_melee,2.0
Fallout 76,Plasma cutter,24,,,35.0,,748.0,,005E8876,,,bladed_melee,3.0
Fallout 76,Pole hook,25,,,40.0,45.0,71.0,,00110771,,,bladed_melee,7.0
Fallout 76,Revolutionary sword,26,41.0,,,,37.0,35.0,,,3.0,bladed_melee,
Fallout 76,Ripper,27,,,40.0,130.0,2.0,,000FA2F6,,,bladed_melee,6.0
Fallout 76,Shepherd's crook,28,,,40.0,45.0,50.0,,0045582B,,,bladed_melee,7.0
Fallout 76,Shishkebab,29,,,35.0,120.0,2722.0,,000FA2FB,,,bladed_melee,3.0
Fallout 76,Sickle,30,,,30.0,15.0,36.0,,000B3293,,,bladed_melee,3.0
Fallout 76,Ski sword,31,,,30.0,40.0,50.0,,000360CF,,,bladed_melee,3.0
Fallout 76,Spear,32,,,40.0,40.0,58.0,,002D473A,,,bladed_melee,2.0
Fallout 76,Switchblade,33,,,20.0,20.0,30.0,,000FDC81,,,bladed_melee,1.0
Fallout 76,Sword,34,,,,,,,,,,bladed_melee,
Fallout 76,The Gutter,35,,,35.0,70.0,40.0,,003F5E94WasteManagement005E6F9EDailyOps,,,bladed_melee,1.0
Fallout 76,The Invader,36,,,20.0,25.0,33.0,,00559D45,,,bladed_melee,1.0
Fallout 76,The Quick Fix,37,,,20.0,20.0,30.0,,00403026,,,bladed_melee,1.0
Fallout 76,War glaive,38,,,40.0,,82.0,,005D79C7,,,bladed_melee,9.0
