game_title,weapon_name,,accuracy,ammo_name,ap_cost,area_of_effect,caps_value,critical_chance_multiplier,damage,durability,fire_rate,form_id,magazine_capacity,skill_required,strength_required,weapon_type,weight
Fallout New Vegas,Bowie knife,0,,,20.0,,1000.0,x1.5,23.0,495,3.46,xx0046C7,,75,3,bladed melee,1.0
Fallout New Vegas,Blood-Nap,1,,,17.0,,2000.0,x1.5,30.0,495,3.69,xx00A606,,50,4,bladed melee,1.0
Fallout New Vegas,Bumper sword,2,,,38.0,,2500.0,x1,32.0,1495,1.42,000CD50D,,50,8,bladed melee,12.0
Fallout New Vegas,Blade of the East,3,,,35.0,,45.0,x1,65.0,3995,1.58,00143FBA,,100,9,bladed melee,12.0
Fallout New Vegas,Blade of the West,4,,,29.0,,5700.0,x1.5,60.0,745,2.13,xx008B05,,100,9,bladed melee,12.0
Fallout New Vegas,Chainsaw(GRA),5,,,65.0,,2800.0,x1,80.0,7995,1.0,0015FE44xx000851,,75,7,bladed melee,20.0
Fallout New Vegas,Cleaver,6,,,22.0,,20.0,x1,7.0,1245,2.54,00109A0A,,0,2,bladed melee,2.0
Fallout New Vegas,Chopper,7,,,22.0,,800.0,x2,14.0,1245,3.92,0014D2AA,,0,2,bladed melee,2.0
Fallout New Vegas,Combat knife,8,,,17.0,,500.0,x2,15.0,445,3.23,00004326,,50,3,bladed melee,1.0
Fallout New Vegas,Chance's knife,9,,,17.0,,900.0,x2,22.0,445,4.15,00162C92,,50,3,bladed melee,1.0
Fallout New Vegas,Cosmic knife,10,,,20.0,,35.0,x1,12.0,745,3.0,xx00BD09,,0,1,bladed melee,1.0
Fallout New Vegas,Cosmic knife clean,11,,,20.0,,50.0,x1.2,15.0,995,3.0,xx012209,,0,1,bladed melee,1.0
Fallout New Vegas,Cosmic knife super-heated,12,,,20.0,,50.0,x5,14.0,745,3.0,xx010589,,0,1,bladed melee,1.0
Fallout New Vegas,Fire axe,13,,,22.0,,2500.0,x1,55.0,995,1.58,0011A8B9,,75,5,bladed melee,8.0
Fallout New Vegas,Knock-Knock,14,,,21.0,,3200.0,x1,66.0,545,1.8,00156F7C,,75,5,bladed melee,8.0
Fallout New Vegas,Hatchet,15,,,22.0,,75.0,x1,16.0,1495,2.54,0011A8E4,,25,2,bladed melee,2.0
Fallout New Vegas,Katana,16,,,21.0,,2500.0,x2,22.0,995,3.23,xx000817,,75,4,bladed melee,3.0
Fallout New Vegas,Knife,17,,,20.0,,20.0,x1,8.0,745,3.0,00004334,,0,1,bladed melee,1.0
Fallout New Vegas,Knife spear,18,,,35.0,,55.0,x1,20.0,1995,1.89,xx000FBE,,25,2,bladed melee,3.0
Fallout New Vegas,Knife spear clean,19,,,35.0,,55.0,x1.2,25.0,1995,1.89,xx012208,,25,2,bladed melee,3.0
Fallout New Vegas,Machete,20,,,20.0,,50.0,x1.5,11.0,245,3.0,000CE569,,25,3,bladed melee,2.0
Fallout New Vegas,Broad machete,21,,,17.0,,75.0,x2,15.0,370,3.23,001735E5,,0,3,bladed melee,1.0
Fallout New Vegas,Liberator,22,,,18.0,,1000.0,x3,18.0,370,3.46,00127E45,,25,3,bladed melee,2.0
Fallout New Vegas,Machete gladius,23,,,20.0,,1000.0,x1.5,28.0,370,3.0,0015430B,,25,4,bladed melee,2.0
Fallout New Vegas,Proton axe,24,,,22.0,,3500.0,x1,50.0,995,1.82,xx016A4B,,50,5,bladed melee,8.0
Fallout New Vegas,Protonic inversal axe,25,,,25.0,,4000.0,x1,58.0,1245,1.82,xx009701,,55,5,bladed melee,8.0
Fallout New Vegas,Ripper (GRA),26,,,65.0,,1200.0,x1,50.0,5995,1.0,00004349xx000857,,50,3,bladed melee,6.0
Fallout New Vegas,Shishkebab,27,,,28.0,,2500.0,x2,40.0,2495,2.31,0000434E,,75,6,bladed melee,3.0
Fallout New Vegas,Gehenna,28,,,25.0,,12000.0,x2,42.0,1995,2.77,xx00080F,,75,6,bladed melee,3.0
Fallout New Vegas,Straight razor,29,,,18.0,,35.0,x2,5.0,370,3.69,000F0F04,,0,1,bladed melee,1.0
Fallout New Vegas,Figaro,30,,,17.0,,400.0,x4,8.0,445,4.15,0014D2A7,,0,1,bladed melee,1.0
Fallout New Vegas,Switchblade,31,,,18.0,,35.0,x2,7.0,495,2.0,000289C3,,25,1,bladed melee,1.0
Fallout New Vegas,Thermic lance,32,,,65.0,,5500.0,x1,100.0,9995,1.0,0015C881,,100,7,bladed melee,20.0
Fallout New Vegas,9 iron,0,,,22.0,,55.0,x1,17.0,295,2.37,000FC335,,25,2,blunt melee,3.0
Fallout New Vegas,Nephi's golf driver,1,,,21.0,,500.0,x1.2,30.0,245,2.37,000F56F6,,25,2,blunt melee,1.0
Fallout New Vegas,Baseball bat(GRA),2,,,25.0,,250.0,x1,22.0,1995,1.65,0000421Cxx00084C,,25,4,blunt melee,3.0
Fallout New Vegas,Cattle prod,3,,,28.0,,450.0,x2,5.0,2495,2.3,0013316D,,75,4,blunt melee,3.0
Fallout New Vegas,Dress cane,4,,,27.0,,40.0,x1,22.0,245,2.3,0011A8A0,,50,2,blunt melee,3.0
Fallout New Vegas,Lead pipe,5,,,24.0,,75.0,x1,22.0,245,2.54,00004337,,50,5,blunt melee,3.0
Fallout New Vegas,The Humble Cudgel,6,,,21.0,,350.0,x1,26.0,370,2.77,00157BCA,,50,5,blunt melee,3.0
Fallout New Vegas,Nail board,7,,,27.0,,250.0,x0,25.0,295,1.4,000A01DD,,25,7,blunt melee,4.0
Fallout New Vegas,Pool cue,8,,,27.0,,15.0,x0,15.0,245,1.5,00004346,,0,2,blunt melee,1.0
Fallout New Vegas,Old Glory,9,,,22.0,,2500.0,x1.5,45.0,1245,1.89,xx0076E0,,50,7,blunt melee,8.0
Fallout New Vegas,Police baton,10,,,23.0,,70.0,x1,10.0,1245,2.8,00004345,,0,1,blunt melee,2.0
Fallout New Vegas,Rebar club,11,,,40.0,,500.0,x0.5,42.0,1245,1.2,000CD50E,,50,9,blunt melee,9.0
Fallout New Vegas,Nuka-Breaker,12,,,35.0,,7800.0,x2,50.0,995,1.52,xx000807,,50,9,blunt melee,8.0
Fallout New Vegas,Rolling pin,13,,,24.0,,10.0,x0,3.0,495,1.7,000B2943,,0,2,blunt melee,1.0
Fallout New Vegas,Shovel,14,,,28.0,,55.0,x3,12.0,1495,1.7,0011E46F,,0,3,blunt melee,3.0
Fallout New Vegas,Sledgehammer,15,,,38.0,,130.0,x1,24.0,745,1.9,00004351,,50,7,blunt melee,12.0
Fallout New Vegas,Super sledge,16,,,38.0,,5800.0,x1,70.0,495,1.5,00004352,,100,8,blunt melee,20.0
Fallout New Vegas,"Oh, Baby",17,,,35.0,,6200.0,x1,80.0,495,1.74,00156968,,100,8,blunt melee,20.0
Fallout New Vegas,Tire iron,18,,,27.0,,40.0,x1,15.0,995,2.3,00004328,,0,3,blunt melee,3.0
Fallout New Vegas,War club,19,,,21.0,,75.0,x1,19.0,995,3.0,xx00BCB5,,25,2,blunt melee,3.0
Fallout New Vegas,X-2 antenna,20,,,22.0,,6000.0,x1,65.0,620,1.1,xx00C297,,75,7,blunt melee,15.0
Fallout New Vegas,Deathclaw gauntlet,0,,-,26.0,,150.0,x5,20.0,2995,1.6,0000432B,,100,6,cut content,10.0
Fallout New Vegas,Debug Mega Pistol,1,0.7,9mm round,17.0,,100.0,x1,9999.0,1120,3.1,001465A6,13.0,0,2,cut content,1.5
Fallout New Vegas,Double-barrel shotgun,2,,,,,,x,,,,,,,,cut content,
Fallout New Vegas,Gas grenade,3,,-,24.0,,25.0,x1,1.0,-,0.7,0012701F,,0,2,cut content,0.5
Fallout New Vegas,Oliver anti-materiel rifle,4,0.0,.50 MG,25.0,,5600.0,x1,150.0,870,0.4,001724F2,8.0,100,6,cut content,20.0
Fallout New Vegas,Plasma rifle always crit,5,0.2,MFC,25.0,,1800.0,x100,459.0,4495,1.0,000F7EAE,12.0,0,0,cut content,8.0
Fallout New Vegas,Plasma rifle weak,6,0.2,MFC,25.0,,1800.0,x2,3.0,4495,4.0,000CDA5C,12.0,0,0,cut content,8.0
Fallout New Vegas,Poisoned hatchet,7,,-,23.0,,75.0,x1,30.0,4995,0.7,xx00F91A,,50,3,cut content,0.5
Fallout New Vegas,Poisoned mantis gauntlet,8,,-,22.0,,150.0,x3,30.0,245,2.0,xx010E5D,,75,4,cut content,10.0
Fallout New Vegas,Slave's Burden,9,,-,0.0,,2350.0,x4,16.0,-,1.6,00171B48,,1,7,cut content,400.0
Fallout New Vegas,Starlet's hand wraps,10,,-,28.0,,100.0,X1,15.0,24995,1.3,xx00E8A4,,0,1,cut content,6.0
Fallout New Vegas,Stun baton,11,,-,5.0,,110.0,x1,12.0,495,2.3,00166B95,,0,0,cut content,1.0
Fallout New Vegas,Stun grenade,12,,-,24.0,,50.0,x1,1.0,-,0.7,0014DDDF,,25,2,cut content,0.5
Fallout New Vegas,The Disintegrator,13,0.0,MFC,17.0,,1000.0,x100,1000.0,4995,3.8,000F82AA,255.0,0,0,cut content,8.0
Fallout New Vegas,The Faderator,14,0.3,MFC,4.0,,3000.0,x0.01,120.0,3995,168.0,xx000800,255.0,25,3,cut content,7.0
Fallout New Vegas,Arc welder,0,0.5,ECP,30.0,,3700.0,x0.36,9.0,1245,8.0,xx00766B,30.0,75,7,Energy Heavy weapons,15.0
Fallout New Vegas,Flamer,1,0.5,Flamer fuel,50.0,,2350.0,x0.42,16.0,995,8.0,0000432D,60.0,50,7,Energy Heavy weapons,15.0
Fallout New Vegas,Cleansing Flame,2,1.5,Flamer fuel,55.0,,9500.0,x1,15.0,1495,7.0,xx00080B,100.0,50,7,Energy Heavy weapons,22.0
Fallout New Vegas,Gatling laser,3,0.6,ECP,30.0,,6800.0,x0.02,10.0,7495,30.0,0000432E,240.0,100,8,Energy Heavy weapons,18.0
Fallout New Vegas,Sprtel-Wood 9700,4,0.5,ECP,30.0,,20000.0,x0.04,16.0,4995,20.0,xx000803,90.0,100,6,Energy Heavy weapons,15.0
Fallout New Vegas,Heavy incinerator,5,0.5,Flamer fuel,50.0,,7200.0,x0.83,20.0,995,4.0,000E2BFC,24.0,100,8,Energy Heavy weapons,15.0
Fallout New Vegas,Incinerator,6,0.1,Flamer fuel,50.0,,1300.0,x1.67,20.0,995,2.0,000906DA,30.0,25,6,Energy Heavy weapons,12.0
Fallout New Vegas,Plasma caster,7,0.7,MFC,25.0,,7000.0,x1,65.0,395,3.0,000906CF,10.0,100,8,Energy Heavy weapons,20.0
Fallout New Vegas,The Smitty Special,8,1.3,MFC,30.0,,20000.0,x0.1,35.0,1095,7.0,xx00080A,20.0,100,8,Energy Heavy weapons,20.0
Fallout New Vegas,Tesla cannon,9,0.1,ECP,37.0,,8700.0,x2,80.0,395,1.34,000E2BEC,204.0,100,8,Energy Heavy weapons,8.0
Fallout New Vegas,Elijah's jury-rigged Tesla cannon,10,0.0,ECP,37.0,,13500.0,x2,85.0,245,1.58,xx01199E,306.0,100,8,Energy Heavy weapons,8.0
Fallout New Vegas,Tesla-Beaton prototype,11,0.08,ECP,37.0,,12525.0,x2,90.0,195,1.34,0015A47F,244.0,100,8,Energy Heavy weapons,8.0
Fallout New Vegas,Alien blaster,0,0.0,Alien PC,20.0,,4000.0,x100,75.0,2495,1.8,00004322,10.0,75,1,Energy Pistols,2.0
Fallout New Vegas,Euclid's C-Finder,1,0.5,ARCHIMEDES II charge,50.0,,1.0,x50,0.0,3995,0.2,0014EB3C,1.0,0,1,Energy Pistols,15.0
Fallout New Vegas,Flare gun,2,0.5,Flamer fuel,30.0,,500.0,x1.5,10.0,245,1.8,xx004C4E,10.0,0,3,Energy Pistols,2.0
